contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL220218P00070000,2021-11-15 17:37:13,70.0,0.07,0.07,0.09,-0.020000003,-22.222225,4,399,0.6113320117187502,False,REGULAR,USD
AAPL220218P00075000,2021-11-12 20:32:00,75.0,0.1,0.09,0.12,0.0,0.0,1,161,0.579105771484375,False,REGULAR,USD
AAPL220218P00080000,2021-11-12 20:32:18,80.0,0.14,0.12,0.15,0.0,0.0,1,157,0.5468795312500001,False,REGULAR,USD
AAPL220218P00085000,2021-11-12 19:05:25,85.0,0.18,0.16,0.19,0.0,0.0,40,280,0.51758294921875,False,REGULAR,USD
AAPL220218P00090000,2021-11-10 20:16:18,90.0,0.28,0.21,0.24,0.0,0.0,4,1294,0.4936574072265626,False,REGULAR,USD
AAPL220218P00095000,2021-11-15 17:41:42,95.0,0.3,0.27,0.3,-0.00999999,-3.2258034,101,957,0.463872548828125,False,REGULAR,USD
AAPL220218P00100000,2021-11-11 20:31:29,100.0,0.44,0.35,0.37,0.0,0.0,14,2422,0.4335994140625,False,REGULAR,USD
AAPL220218P00105000,2021-11-15 16:10:43,105.0,0.44,0.44,0.46,-0.060000002,-12.0,3,1432,0.40479110839843746,False,REGULAR,USD
AAPL220218P00110000,2021-11-15 18:30:01,110.0,0.6,0.56,0.58,-0.01999998,-3.2258034,60,4618,0.37720349365234374,False,REGULAR,USD
AAPL220218P00115000,2021-11-12 16:11:00,115.0,0.82,0.73,0.75,0.0,0.0,7,6195,0.35205726074218746,False,REGULAR,USD
AAPL220218P00120000,2021-11-15 16:48:10,120.0,1.01,0.97,0.99,-0.01999998,-1.9417458,204,6997,0.3284979260253906,False,REGULAR,USD
AAPL220218P00125000,2021-11-15 18:43:58,125.0,1.34,1.32,1.35,-0.03999996,-2.898548,50,4919,0.30799031860351556,False,REGULAR,USD
AAPL220218P00130000,2021-11-15 17:21:55,130.0,1.94,1.86,1.9,0.01000011,0.51814044,65,8252,0.29077857666015616,False,REGULAR,USD
AAPL220218P00135000,2021-11-15 17:54:16,135.0,2.7,2.66,2.71,-0.07999992,-2.877695,636,5640,0.27625235473632803,False,REGULAR,USD
AAPL220218P00140000,2021-11-15 18:20:27,140.0,3.9,3.8,3.9,-0.099999905,-2.4999976,196,5818,0.26496096374511713,False,REGULAR,USD
AAPL220218P00145000,2021-11-15 17:57:07,145.0,5.6,5.5,5.6,-0.099999905,-1.7543844,677,6303,0.2576978527832031,False,REGULAR,USD
AAPL220218P00150000,2021-11-15 18:51:26,150.0,7.78,7.75,7.8,-0.119999886,-1.5189859,2663,5445,0.2512892254638671,True,REGULAR,USD
AAPL220218P00155000,2021-11-15 18:30:25,155.0,10.64,10.6,10.7,0.03999996,0.3773581,943,1957,0.2512281909179687,True,REGULAR,USD
AAPL220218P00160000,2021-11-15 17:52:15,160.0,13.95,13.9,14.05,-0.25,-1.7605634,72,1375,0.25049577636718745,True,REGULAR,USD
AAPL220218P00165000,2021-11-15 15:25:16,165.0,17.55,17.7,17.85,-0.55000114,-3.0386803,3,1078,0.2511671563720703,True,REGULAR,USD
AAPL220218P00170000,2021-11-15 17:35:42,170.0,22.1,21.85,22.0,0.14999962,0.6833695,235,2128,0.2528150891113281,True,REGULAR,USD
AAPL220218P00175000,2021-11-15 16:04:25,175.0,26.05,26.3,26.4,-2.25,-7.95053,50,356,0.25427991821289064,True,REGULAR,USD
AAPL220218P00180000,2021-11-12 20:30:15,180.0,30.84,30.85,30.95,0.0,0.0,1,67,0.252937158203125,True,REGULAR,USD
AAPL220218P00185000,2021-10-01 13:51:56,185.0,45.1,35.8,37.65,0.0,0.0,1,1,0.38825074645996094,True,REGULAR,USD
AAPL220218P00190000,2021-10-28 13:30:14,190.0,40.9,40.35,40.55,0.0,0.0,6,16,0.2624585473632813,True,REGULAR,USD
AAPL220218P00195000,2021-11-12 15:51:53,195.0,46.7,45.25,45.45,0.0,0.0,1,1,0.2690502783203125,True,REGULAR,USD
AAPL220218P00200000,2021-11-08 18:09:00,200.0,49.59,50.1,50.3,0.0,0.0,1,1,0.25391371093750004,True,REGULAR,USD
AAPL220218P00210000,2021-11-12 15:51:33,210.0,61.45,60.0,60.15,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL220218P00260000,2021-11-08 19:16:57,260.0,109.25,109.8,110.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD
